RACEDATE|RACECODE|RACENUMBER,PAUL LALLY,CLINT HUTCHINSON,BRETT DAVIS,ALAN AITKEN,MICHAEL COX,ANDREW HAWKINS,PHILLIP WOO,SHANNON,RPONLINE,RESULT,WINODDS,FAVPOS,FAVODDS,NORUNNERS,MARKET,SURFACE,CLASS,F4,TIERCE,QTT,DT,TT,TTCONS,6UP,6UPC,DH
20150531ST10,8-11-6,11-8-14,8-11-6,8-3-14-2,8-3-2-1,8-1-7-13,1-3-14-2,14+-2-13-8,8-14-2-1,8-2-11-13,2.3,1,2.3,14,,,,,,,,,,,,
20150603HV1,1-5-10,9-10-6,10-8-1,10-1-5-2,10-3-5-8,1-10-3-2,6-10-2-1,6-10-1-8,9-10-3-6,10-12-6-2,3.5,1,3.5,11,,,,,,,,,,,,
20150603HV2,5-2-6,11-2-6,2-5-12,2-7-5-10,5-2-6-7,5-6-7-2,2-7-4-5,7-5-12-3,5-6-7-4,5-1-11-7,2.5,1,2.5,12,,,,,,,,,,,,
20150603HV3,7-1-3,7-2-11,7-6-1,7-2-11-3,7-2-8-3,7-9-10-11,8-6-2-11,7-11-6-1,7-8-2-6,7-8-6-4,3.9,1,3.9,12,,,,,,,,,,,,
20150603HV4,7-1-6,12-3-4,1-4-12,1-7-2-4,1-7-4-12,1-4-3-7,1-7-12-3,1-12-8-3,12-7-3-1,1-2-12-11,3.4,1,3.4,12,,,,,,,,,,,,
20150603HV5,7-5-2,5-7-2,2-7-11,5-7-6-2,5-3-2-4,5-7-2-3,5-4-7-6,4-5-10-7,7-4-5-2,11-4-12-5,14,4,3,12,,,,,,,,,,,,
20150603HV6,4-8-2,11-4-8,11-4-3,11-1-7-3,11-1-3-8,1-11-3-7,4-3-11-1,1-3-6-5,7-4-3-11,1-8-4-11,7.9,4,3.5,12,,,,,,,,,,,,
20150603HV7,12-9-10,10-3-4,8-3-5,8-12-7-1,5-8-12-10,8-12-7-3,5-9-8-4,9-1-3-4,5-4-1-2,2-5-10-12,17,5,4.9,12,,,,,,,,,,,,
20150603HV8,4-9-10,11-2-12,9-5-7,4-7-12-9,4-2-7-12,2-4-12-7,5-4-7-12,4-3-12-9,11-4-5-12,4-9-5-12,3.9,1,3.9,12,,,,,,,,,,,,
20150607ST1,5-7-14,5-7-2,7-11-2,11-14-7-5,7-2-13-14,2-7-5-12,11-14-2-7,7-14-10-2,5-14-12-11,7-2-12-14,2.3,1,2.3,14,,,,,,,,,,,,
20150607ST2,3-6-1,3-6-10,6-3-5,6-3-11-4,3-12-5-10,3-5-12-1,3-6-5-12,3-6-5-14,6-3-5-12,5-1-8-9,4.1,5,3.7,14,,,,,,,,,,,,
20150607ST3,6-5-1,6-1-9,6-2-5,6-1-7-4,6-7-8-9,5-6-7-1,6-1-2-4,4-6-2-1,6-1-7-9,6-7-4-13,26,8,5.2,14,,,,,,,,,,,,
20150607ST4,6-2-14,6-5-2,5-6-8,8-4-14-11,6-2-9-11,6-2-8-5,6-5-12-2,4-6-8-11,6-3-5-4,12-6-7-4,52,2,2,14,,,,,,,,,,,,
20150607ST5,4-7-6,6-9-4,9-6-3,6-2-11-9,2-4-9-7,7-6-4-11,6-3-4-9,6-3-7-12,6-9-7-3,6-9-4-7,4.3,2,3,12,,,,,,,,,,,,
20150607ST6,2-5-8,1-2-8,1-12-2,12-1-5-3,1-2-5-4,1-8-2-7,1-5-2-14,1-5-3-8,1-5-3-8,5-3-8-2,5.4,5,2.2,14,,,,,,,,,,,,
20150607ST7,3-10-1,3-5-2,3-5-10,3-6-10-2,3-8-9-7,3-5-9-1,3-5-10-9,5-3-10-7,3-10-5-7,10-6-3-8,3.4,3,2.4,9,,,,,,,,,,,,
20150607ST8,5-14-8,1-8-5,8-5-1,13-6-5-8,5-3-8-13,5-1-8-4,5-2-8-9,1-9-8-13,8-3-2-9,1-6-2-8,26,4,2.9,14,,,,,,,,,,,,
20150607ST9,6-4-5,7-5-6,2-10-4,9-4-2-6,9-11-7-2,11-5-4-7,2-4-5-10,4-2-5-7,7-9-5-3,9-3-6-13,8.2,8,4.9,14,,,,,,,,,,,,
20150607ST10,3-2-14,2-3-4,2-4-6,2-4-12-3,2-4-12-3,2-4-12-5,2-3-6-4,2-7-3-5,2-4-3-6,3-6-5-12,7.2,5,1.8,14,,,,,,,,,,,,
20150610HV1,7-6-4,9-5-1,9-4-5,9-6-7-1,6-9-4-5,9-7-6-4,9-4-5-12,7-9-12-6,9-4-2-1,3-9-1-4,32,2,3.3,12,,,,,,,,,,,,
20150610HV2,1-3-7,1-4-7,6-4-3,6-8-4-1,4-3-6-7,4-11-2-3,4-2-6-3,4-2-3-1,4-3-6-7,8-4-10-3,17,2,3.1,12,,,,,,,,,,,,
20150610HV3,1-6-11,8-1-5,10-2-8,11-1-6-3,7-8-10-11,2-1-6-8,1-7-6-10,1-2-3-7,7-1-8-11,5-6-9-10,15,11,3.9,11,,,,,,,,,,,,
20150610HV4,5-6-4,5-3-10,5-6-10,6-5-9-3,3-6-5-1,3-6-5-10,6-5-3-2,6-5-3-2,5-6-3-1,3-8-5-6,6.1,3,2.3,12,,,,,,,,,,,,
20150610HV5,4-2-5,2-5-7,2-4-11,2-7-5-4,5-2-1-9,1-2-5-7,2-5-1-8,2-1-7-5,2-5-7-9,2-4-9-1,1.9,1,1.9,12,,,,,,,,,,,,
20150610HV6,5-12-10,8-12-5,5-7-8,12-7-5-6,9-7-12-3,12-9-3-5,8-12-1-4,3-5-7-12,4-12-5-7,12-5-1-10,5.8,10,5.7,12,,,,,,,,,,,,
20150610HV7,8-10-6,11-8-3,8-12-9,12-3-2-8,3-8-11-2,8-12-3-6,8-6-9-11,8-12-4-11,8-12-11-6,3-8-12-5,9.4,2,3.5,12,,,,,,,,,,,,
20150610HV8,10-3-5,10-3-6,7-10-2,9-7-3-8,3-6-2-10,3-9-10-1,6-1-3-4,3-10-3-4,3-10-4-6,10-5-3-6,3,1,3,12,,,,,,,,,,,,
20150614ST1,7-2-5,2-7-11,5-7-11,2-7-5-9,7-5-2-11,2-11-7-5,5-7-11-2,5-2-9-7,5-2-7-11,11-7-5-2,6.6,3,2.5,12,,,,,,,,,,,,
20150614ST2,3-1-7,2-1-8,11-3-7,7-2-10-12,3-8-13-12,1-7-8-3,3-2-8-1,1-2-13-3,3-8-13-2,3-8-2-7,5.8,2,3.5,14,,,,,,,,,,,,
20150614ST3,11-2-14,6-11-14,11-3-2,2-3-11-14,11-4-2-10,11-10-8-13,4-2-3-11,11-2-4-6,4-3-6-7,4-6-1-2,6.2,7,4.8,14,,,,,,,,,,,,
